pagina;proveedor;factura;fecha;cod_proveedor;descripcion_factura;categoria_sugerida;marca;nombre_producto;color;largo_cm;ancho_cm;unidad_venta;m2_por_caja;piezas_por_caja;cantidad_factura;unidad_cantidad;cajas;costo_unitario_gs;total_linea_gs;observaciones
20;MERCOESTE S.A.E.C.A. (RUC 80059879-2);001-001-0048941;2026-08-14;7894;INCEPA THEMA KIT Inodoro c/ Tanque - Negro - 1257230020100;inodoro;INCEPA;Incepa Thema kit inodoro con tanque;Negro;;;juego;;;2;un;;950000;1900000;Cod. fabrica 1257230020100
20;MERCOESTE S.A.E.C.A. (RUC 80059879-2);001-001-0048941;2026-08-14;8365;INCEPA THEMA KIT Inodoro c/ Tanque - Gris Platina - 1257230480100;inodoro;INCEPA;Incepa Thema kit inodoro con tanque;Gris Platina;;;juego;;;1;un;;950000;950000;Cod. fabrica 1257230480100
20;MERCOESTE S.A.E.C.A. (RUC 80059879-2);001-001-0048941;2026-08-14;9446;CELITE | KIT ELITE (Tq bajo+comp) - Blanco Brillante - 1747230010300;inodoro;CELITE;Celite kit Elite tanque bajo completo;Blanco Brillante;;;juego;;;2;un;;1100000;2200000;Cod. fabrica 1747230010300. tipo_cisterna=baja
21;MERCOESTE S.A.E.C.A. (RUC 80059879-2);001-001-0048950;2026-08-14;8556;PBELLO | MALIBU LAKE 20X20 EXT BOLD 201390E - (0.64Mx16U);ceramica;BELLO;Bello Malibu Lake 20x20 exterior bold;Malibu Lake;20;20;m2;0.6400;16;69.12;m2;108;98000;6773760;Uso exterior. Precio por m2
21;MERCOESTE S.A.E.C.A. (RUC 80059879-2);001-001-0048950;2026-08-14;5956;PBELLO | MALIBU OCEAN 20X20 EXT BOLD - 28784E-(0.64M);ceramica;BELLO;Bello Malibu Ocean 20x20 exterior bold;Malibu Ocean;20;20;m2;0.6400;16;69.12;m2;108;98000;6773760;Uso exterior. Precio por m2
21;MERCOESTE S.A.E.C.A. (RUC 80059879-2);001-001-0048950;2026-08-14;8769;FORMIGRES I DHAMA AZUL 32X45 BR.- (2MX14U);ceramica;FORMIGRES;Formigres Dhama 32x45 brillante;Azul;45;32;m2;2.0000;14;288.00;m2;144;26500;7632000;Acabado brillante. Precio por m2
21;MERCOESTE S.A.E.C.A. (RUC 80059879-2);001-001-0048950;2026-08-14;12551;VIVA I VPC FIRENZE BR 58x58 (2.35x7U);ceramica;VIVA;Viva VPC Firenze 58x58 brillante;Firenze;58;58;m2;2.3500;7;141.00;m2;60;23000;3243000;Acabado brillante. Precio por m2
21;MERCOESTE S.A.E.C.A. (RUC 80059879-2);001-001-0048950;2026-08-14;12567;ROCHAFORTE - HD 5757316 BR 57x57 (3.30x10U);ceramica;ROCHAFORTE;Rochaforte HD 5757316 57x57 brillante;HD 5757316;57;57;m2;3.3000;10;158.40;m2;48;23000;3643200;Acabado brillante. Precio por m2
21;MERCOESTE S.A.E.C.A. (RUC 80059879-2);001-001-0048950;2026-08-14;12574;ROCHAFORTE - HD 5757740 BR 57x57 (3.30x10U);ceramica;ROCHAFORTE;Rochaforte HD 5757740 57x57 brillante;HD 5757740;57;57;m2;3.3000;10;158.40;m2;48;23000;3643200;Acabado brillante. Precio por m2
21;MERCOESTE S.A.E.C.A. (RUC 80059879-2);001-001-0048950;2026-08-14;11432;MEGACOLA | Argamasa ACI x 20 KG;adhesivo;MEGACOLA;Megacola argamasa ACI 20 kg;;;;pieza;;;160;bolsa;;16000;2560000;Bolsa de 20 kg
22;MERCOESTE S.A.E.C.A. (RUC 80059879-2);001-001-0048947;2026-08-14;9872;MAPEI - KERACOLOR CLASSIC BLANCO 100 ALU X1 KG - 5QC010034A;pastina;MAPEI;Mapei Keracolor Classic 1 kg;Blanco 100;;;pieza;;;42;un;;10000;420000;Ref. 5QC010034A. Envase 1 kg
22;MERCOESTE S.A.E.C.A. (RUC 80059879-2);001-001-0048947;2026-08-14;9880;MAPEI - KERACOLOR CLASSIC NEGRO 120 ALU X1 KG - 5QC012034A;pastina;MAPEI;Mapei Keracolor Classic 1 kg;Negro 120;;;pieza;;;28;un;;10000;280000;Ref. 5QC012034A. Envase 1 kg
22;MERCOESTE S.A.E.C.A. (RUC 80059879-2);001-001-0048947;2026-08-14;9878;MAPEI - KERACOLOR CLASSIC BEIGE 132 ALU X1 KG - 5QC013234A;pastina;MAPEI;Mapei Keracolor Classic 1 kg;Beige 132;;;pieza;;;28;un;;10000;280000;Ref. 5QC013234A. Envase 1 kg
22;MERCOESTE S.A.E.C.A. (RUC 80059879-2);001-001-0048947;2026-08-14;10451;MAPEI - KERACOLOR CLASSIC GRIS CEMENTO 113 ALU X1 KG - 5QC013334A;pastina;MAPEI;Mapei Keracolor Classic 1 kg;Gris Cemento 113;;;pieza;;;42;un;;10000;420000;Ref. 5QC013334A. Envase 1 kg
22;MERCOESTE S.A.E.C.A. (RUC 80059879-2);001-001-0048947;2026-08-14;11532;MAPEI - KERACOLOR CLASSIC GRIS MEDIO 112 ALU X1 KG - 5QC011234A;pastina;MAPEI;Mapei Keracolor Classic 1 kg;Gris Medio 112;;;pieza;;;42;un;;10000;420000;Ref. 5QC011234A. Envase 1 kg
22;MERCOESTE S.A.E.C.A. (RUC 80059879-2);001-001-0048947;2026-08-14;9879;MAPEI - KERACOLOR CLASSIC MARRON 142 ALU X1 KG - 5QC014234A;pastina;MAPEI;Mapei Keracolor Classic 1 kg;Marron 142;;;pieza;;;42;un;;10000;420000;Ref. 5QC014234A. Envase 1 kg
23;MERCOESTE S.A.E.C.A. (RUC 80059879-2);001-001-0048943;2026-08-14;2793;CORONA Adaptador 15/16P - 708110001;plomeria;CORONA;Corona adaptador 15/16P;;;;pieza;;;20;un;;5000;100000;Cod. fabrica 708110001
24;MERCOESTE S.A.E.C.A. (RUC 80059879-2);001-001-0048942;2026-08-14;5326;CELITE | SMART KIT COMPLETO Inodoro - Negro Brillante - 1167230021300;inodoro;CELITE;Celite Smart kit completo inodoro;Negro Brillante;;;juego;;;1;un;;1150000;1150000;Cod. fabrica 1167230021300
24;MERCOESTE S.A.E.C.A. (RUC 80059879-2);001-001-0048942;2026-08-14;5327;CELITE | SMART KIT COMPLETO Inodoro - Pergamon - 1167230590300;inodoro;CELITE;Celite Smart kit completo inodoro;Pergamon;;;juego;;;1;un;;1150000;1150000;Cod. fabrica 1167230590300
24;MERCOESTE S.A.E.C.A. (RUC 80059879-2);001-001-0048942;2026-08-14;12385;CORONA SEVILLA Sanitario triang. Negro Mate - 121904601;inodoro;CORONA;Corona Sevilla sanitario triangular;Negro Mate;;;juego;;;1;un;;2000000;2000000;Cod. fabrica 121904601
24;MERCOESTE S.A.E.C.A. (RUC 80059879-2);001-001-0048942;2026-08-14;12382;CORONA FUSSION Sanitario triang. Blanco - 621511001;inodoro;CORONA;Corona Fussion sanitario triangular;Blanco;;;juego;;;1;un;;990000;990000;Cod. fabrica 621511001
24;MERCOESTE S.A.E.C.A. (RUC 80059879-2);001-001-0048942;2026-08-14;8752;ROCA | HORIZON Lavamanos s/ poner 60X38 Skyline Blanco - A32727500B;bacha;ROCA;Roca Horizon lavamanos sobreponer 60x38 Skyline;Blanco;60;38;pieza;;;2;un;;850000;1700000;Cod. fabrica A32727500B
24;MERCOESTE S.A.E.C.A. (RUC 80059879-2);001-001-0048942;2026-08-14;7989;ROCA Lavabo Apoyo 420x420 Optica PQ42 - Cafe - A327A10860;bacha;ROCA;Roca lavabo de apoyo Optica PQ42 42x42;Cafe;42;42;pieza;;;1;un;;520000;520000;Cod. fabrica A327A10860
25;MERCOESTE S.A.E.C.A. (RUC 80059879-2);001-001-0048942;2026-08-14;10846;ROCA | Optica LV Semiempotrar CQ42 425X425 BCO - A327B19000;bacha;ROCA;Roca Optica lavamanos semiempotrar CQ42 42.5x42.5;Blanco;42.5;42.5;pieza;;;2;un;;380000;760000;Cod. fabrica A327B19000. Hoja 2 de la misma factura
26;EMPORIO de la Construccion / DIKASA (RUC 80061011-3);001-001-0002487;2026-08-10;561483;Bacha Ceramica Sobreponer 6CC008C4;bacha;;Bacha ceramica sobreponer 6CC008C4;;;;pieza;;;1;un;;690000;690000;Ref. 6CC008C4. Sin medidas en la factura
26;EMPORIO de la Construccion / DIKASA (RUC 80061011-3);001-001-0002487;2026-08-10;561606;Bacha Ceramica Sobreponer 6CC008C44;bacha;;Bacha ceramica sobreponer 6CC008C44;;;;pieza;;;1;un;;552000;552000;Ref. 6CC008C44. Sin medidas en la factura
26;EMPORIO de la Construccion / DIKASA (RUC 80061011-3);001-001-0002487;2026-08-10;565702;Bacha Ceramica Sobreponer 49x34x15 6cc008c6;bacha;;Bacha ceramica sobreponer 49x34x15;;49;34;pieza;;;1;un;;729000;729000;Ref. 6CC008C6
26;EMPORIO de la Construccion / DIKASA (RUC 80061011-3);001-001-0002487;2026-08-10;566386;Bacha Ceramica Sobreponer 52x33x15 20250006;bacha;;Bacha ceramica sobreponer 52x33x15;;52;33;pieza;;;1;un;;770000;770000;Ref. 20250006
26;EMPORIO de la Construccion / DIKASA (RUC 80061011-3);001-001-0002487;2026-08-10;564892;Bacha Ceramica Sobreponer 40x33x15 6CC001C2;bacha;;Bacha ceramica sobreponer 40x33x15;;40;33;pieza;;;1;un;;538000;538000;Ref. 6CC001C2
27;PROLAR SHOP (RUC 7510797-0);001-001-0110787;2026-08-14;6ES0468D;ESPEJO ALUM.P/BANO NN FM 60X90 DD;espejo;;Espejo aluminio para bano 60x90;DD;;;pieza;;;2;un;;275000;550000;"Factura a nombre de PAMELA PEREIRA (socia), no de la EAS. MANUSCRITO: ""Verificar % con Pamela"""
27;PROLAR SHOP (RUC 7510797-0);001-001-0110787;2026-08-14;6ES0255N;ESPEJO COLGANTE P/BANO NN 50CM NG;espejo;;Espejo colgante para bano 50cm;Negro;;;pieza;;;2;un;;275000;550000;"Factura a nombre de PAMELA PEREIRA (socia), no de la EAS. MANUSCRITO: ""Verificar % con Pamela"""
27;PROLAR SHOP (RUC 7510797-0);001-001-0110787;2026-08-14;6ES0758P;ESPEJO ALUM.P/BANO LED 3FDD 50X80 PT;espejo;;Espejo aluminio LED 3F 50x80;PT;;;pieza;;;1;un;;550000;550000;"Factura a nombre de PAMELA PEREIRA (socia), no de la EAS. MANUSCRITO: ""Verificar % con Pamela"""
27;PROLAR SHOP (RUC 7510797-0);001-001-0110787;2026-08-14;6ES0758N;ESPEJO ALUM.P/BANO LED 3FDD 50X80 NG;espejo;;Espejo aluminio LED 3F 50x80;Negro;;;pieza;;;1;un;;550000;550000;"Factura a nombre de PAMELA PEREIRA (socia), no de la EAS. MANUSCRITO: ""Verificar % con Pamela"""
27;PROLAR SHOP (RUC 7510797-0);001-001-0110787;2026-08-14;6ES0270D;ESPEJO P/BANO ALUM.REDONDO 70CM DD;espejo;;Espejo aluminio redondo 70cm;DD;;;pieza;;;1;un;;183500;183500;"MANUSCRITO: ""ROTO"" - no cargar al stock | Factura a nombre de PAMELA PEREIRA (socia), no de la EAS. MANUSCRITO: ""Verificar % con Pamela"""
27;PROLAR SHOP (RUC 7510797-0);001-001-0110787;2026-08-14;6ES0270N;ESPEJO ALUM.P/BANO RED. 70CM NG;espejo;;Espejo aluminio redondo 70cm;Negro;;;pieza;;;1;un;;183500;183500;"Factura a nombre de PAMELA PEREIRA (socia), no de la EAS. MANUSCRITO: ""Verificar % con Pamela"""
27;PROLAR SHOP (RUC 7510797-0);001-001-0110787;2026-08-14;6ES0860D;ESPEJO P/BANO ALUM.LED 60CM RED.DD;espejo;;Espejo aluminio LED redondo 60cm;DD;;;pieza;;;1;un;;412000;412000;"Factura a nombre de PAMELA PEREIRA (socia), no de la EAS. MANUSCRITO: ""Verificar % con Pamela"""
27;PROLAR SHOP (RUC 7510797-0);001-001-0110787;2026-08-14;2023002106;LAVATORIO CER.CF SOB. BONE SFG5 31X31X16;bacha;;Lavatorio ceramico sobreponer 31x31x16;Bone;;;pieza;;;1;un;;366500;366500;"Factura a nombre de PAMELA PEREIRA (socia), no de la EAS. MANUSCRITO: ""Verificar % con Pamela"""
27;PROLAR SHOP (RUC 7510797-0);001-001-0110787;2026-08-14;6CC088C3;LAVATORIO CER.SOB.OBRT SFNM GRS 52X33X14;bacha;;Lavatorio ceramico sobreponer 52x33x14;Gris;;;pieza;;;1;un;;458000;458000;"Factura a nombre de PAMELA PEREIRA (socia), no de la EAS. MANUSCRITO: ""Verificar % con Pamela"""
27;PROLAR SHOP (RUC 7510797-0);001-001-0110787;2026-08-14;6CC203C1;LAVATORIO CER.CF.SOB.RTDV.SFP1.463214;bacha;;Lavatorio ceramico sobreponer 46x32x14;;;;pieza;;;1;un;;399000;399000;"Factura a nombre de PAMELA PEREIRA (socia), no de la EAS. MANUSCRITO: ""Verificar % con Pamela"""
27;PROLAR SHOP (RUC 7510797-0);001-001-0110787;2026-08-14;6CC001C5;LAVATORIO CER.CP.SOB. OVAT POCM 40X33X15;bacha;;Lavatorio ceramico sobreponer ovalado 40x33x15;;;;pieza;;;1;un;;343500;343500;"Factura a nombre de PAMELA PEREIRA (socia), no de la EAS. MANUSCRITO: ""Verificar % con Pamela"""
27;PROLAR SHOP (RUC 7510797-0);001-001-0110787;2026-08-14;6CC004C6;LAVATORIO CER.CP.SOB.RDCV.PZCM 31X31X15;bacha;;Lavatorio ceramico sobreponer redondo 31x31x15;;;;pieza;;;1;un;;366500;366500;"Factura a nombre de PAMELA PEREIRA (socia), no de la EAS. MANUSCRITO: ""Verificar % con Pamela"""
27;PROLAR SHOP (RUC 7510797-0);001-001-0110787;2026-08-14;5JG225MM;L.ACK.KIT INX 5PCS RD TNM 2CP RT;accesorio_bano;;Kit accesorios inox 5 piezas redondo;TNM;;;juego;;;1;un;;106000;106000;"Factura a nombre de PAMELA PEREIRA (socia), no de la EAS. MANUSCRITO: ""Verificar % con Pamela"""
27;PROLAR SHOP (RUC 7510797-0);001-001-0110787;2026-08-14;5JG223MD;L.ACK.KIT INX 5PCS RD TDS 2CP RT;accesorio_bano;;Kit accesorios inox 5 piezas redondo;TDS;;;juego;;;1;un;;106000;106000;"MANUSCRITO: ""Devolucion"" - no cargar al stock | Factura a nombre de PAMELA PEREIRA (socia), no de la EAS. MANUSCRITO: ""Verificar % con Pamela"""
27;PROLAR SHOP (RUC 7510797-0);001-001-0110787;2026-08-14;5JG225MP;L.ACK.KIT INX 5PCS RD TPP 2CP RT;accesorio_bano;;Kit accesorios inox 5 piezas redondo;TPP;;;juego;;;1;un;;106000;106000;"Factura a nombre de PAMELA PEREIRA (socia), no de la EAS. MANUSCRITO: ""Verificar % con Pamela"""
28;EL RENACER COMERCIAL (RUC 1357352-7);001-001-0003652;2026-08-10;SIN CODIGO (factura manuscrita);Ducha electrica Lorenzetti;ducha;LORENZETTI;Ducha electrica Lorenzetti;;;;pieza;;;12;un;;105000;1260000;tipo_ducha=electrico | Factura manuscrita, sin codigo de articulo
28;EL RENACER COMERCIAL (RUC 1357352-7);001-001-0003652;2026-08-10;SIN CODIGO (factura manuscrita);Anillo de vedacion c/guia;plomeria;;Anillo de vedacion con guia;;;;pieza;;;60;un;;8500;510000;Factura manuscrita, sin codigo de articulo
28;EL RENACER COMERCIAL (RUC 1357352-7);001-001-0003652;2026-08-10;SIN CODIGO (factura manuscrita);Brazo cr. para ducha 0,40;ducha;;Brazo cromado para ducha 0,40 m;;;;pieza;;;12;un;;10500;126000;Factura manuscrita, sin codigo de articulo
28;EL RENACER COMERCIAL (RUC 1357352-7);001-001-0003652;2026-08-10;SIN CODIGO (factura manuscrita);Bacha Rimini red. 3910;bacha;;Bacha Rimini redonda 3910;;;;pieza;;;1;un;;189750;189750;Gama anotada a mano: Alta | Factura manuscrita, sin codigo de articulo
28;EL RENACER COMERCIAL (RUC 1357352-7);001-001-0003652;2026-08-10;SIN CODIGO (factura manuscrita);Bacha Rect. Piazza 4365;bacha;;Bacha Piazza rectangular 4365;;;;pieza;;;2;un;;207000;414000;Gama anotada a mano: Roma | Factura manuscrita, sin codigo de articulo
28;EL RENACER COMERCIAL (RUC 1357352-7);001-001-0003652;2026-08-10;SIN CODIGO (factura manuscrita);Bacha Rect. xcP2RTM 5260;bacha;;Bacha rectangular P2RTM 5260;;;;pieza;;;2;un;;224250;448500;Gama anotada a mano: Alta | Factura manuscrita, sin codigo de articulo
28;EL RENACER COMERCIAL (RUC 1357352-7);001-001-0003652;2026-08-10;SIN CODIGO (factura manuscrita);Bacha Rect. Novara 3941;bacha;;Bacha Novara rectangular 3941;;;;pieza;;;1;un;;299000;299000;Gama anotada a mano: Roma | Factura manuscrita, sin codigo de articulo
28;EL RENACER COMERCIAL (RUC 1357352-7);001-001-0003652;2026-08-10;SIN CODIGO (factura manuscrita);Bacha Ravena semiemb. 3387;bacha;;Bacha Ravena semiembutida 3387;;;;pieza;;;2;un;;184000;368000;Gama anotada a mano: Alta | Factura manuscrita, sin codigo de articulo
28;EL RENACER COMERCIAL (RUC 1357352-7);001-001-0003652;2026-08-10;SIN CODIGO (factura manuscrita);Bacha Red. Roma semiemb. 3346;bacha;;Bacha Roma redonda semiembutida 3346;;;;pieza;;;2;un;;195000;390000;Gama anotada a mano: Alta. Ref. poco legible (pag. 28) | Factura manuscrita, sin codigo de articulo
28;EL RENACER COMERCIAL (RUC 1357352-7);001-001-0003652;2026-08-10;SIN CODIGO (factura manuscrita);Bacha Roma Cuadrada 4061;bacha;;Bacha Roma cuadrada 4061;;;;pieza;;;1;un;;356500;356500;Gama anotada a mano: Baja | Factura manuscrita, sin codigo de articulo
28;EL RENACER COMERCIAL (RUC 1357352-7);001-001-0003652;2026-08-10;SIN CODIGO (factura manuscrita);Bacha Bolonia redonda 1991;bacha;;Bacha Bolonia redonda 1991;;;;pieza;;;2;un;;178250;356500;Gama anotada a mano: Alta | Factura manuscrita, sin codigo de articulo
28;EL RENACER COMERCIAL (RUC 1357352-7);001-001-0003652;2026-08-10;SIN CODIGO (factura manuscrita);Sopapa a presion EC30640;plomeria;;Sopapa a presion EC30640;;;;pieza;;;25;un;;15000;375000;Factura manuscrita, sin codigo de articulo
28;EL RENACER COMERCIAL (RUC 1357352-7);001-001-0003652;2026-08-10;SIN CODIGO (factura manuscrita);Sopapa a presion EC30599;plomeria;;Sopapa a presion EC30599;;;;pieza;;;25;un;;15750;393750;Factura manuscrita, sin codigo de articulo
28;EL RENACER COMERCIAL (RUC 1357352-7);001-001-0003652;2026-08-10;SIN CODIGO (factura manuscrita);Tornillo c/ tarugo N.10;tira_fondo;;Tornillo con tarugo N.10;;;;pieza;;;100;un;;1800;180000;Factura manuscrita, sin codigo de articulo
29;SANYCER S.A.C.I. (RUC 80030944-8);0010010193717;2026-08-12;11924;MINGITORIO DECA BLANCO C/SIFON M.715.17;migitorio;DECA;Mingitorio Deca con sifon;Blanco;;;pieza;;;2;un;;280000;560000;Ref. M.715.17
29;SANYCER S.A.C.I. (RUC 80030944-8);0010010193717;2026-08-12;10423;INODORO DECA ALTA IZY BLANCO P.11.17;inodoro;DECA;Inodoro Deca Izy cisterna alta;Blanco;;;pieza;;;2;un;;215000;430000;Ref. P.11.17. tipo_cisterna=alta
29;SANYCER S.A.C.I. (RUC 80030944-8);0010010193717;2026-08-12;5428;LAVATORIO DECA IZY RAVENITA BLANCO L.915.17;bacha;DECA;Lavatorio Deca Izy Ravenita;Blanco;;;pieza;;;2;un;;108900;217800;Ref. L.915.17
29;SANYCER S.A.C.I. (RUC 80030944-8);0010010193717;2026-08-12;2934;PEDESTAL DECA RAVENA IZY BLANCO C.10.17;bacha;DECA;Pedestal Deca Ravena Izy;Blanco;;;pieza;;;2;un;;91100;182200;Ref. C.10.17
29;SANYCER S.A.C.I. (RUC 80030944-8);0010010193717;2026-08-12;1235;INODORO DECA ALTA IZY CARAMELO P.11.23;inodoro;DECA;Inodoro Deca Izy cisterna alta;Caramelo;;;pieza;;;2;un;;223000;446000;Ref. P.11.23. tipo_cisterna=alta
29;SANYCER S.A.C.I. (RUC 80030944-8);0010010193717;2026-08-12;5420;LAVATORIO DECA IZY RAVENITA CARAMELO L.915.23;bacha;DECA;Lavatorio Deca Izy Ravenita;Caramelo;;;pieza;;;2;un;;117700;235400;Ref. L.915.23
29;SANYCER S.A.C.I. (RUC 80030944-8);0010010193717;2026-08-12;3152;PEDESTAL DECA RAVENA IZY CARAMELO C.10.23;bacha;DECA;Pedestal Deca Ravena Izy;Caramelo;;;pieza;;;2;un;;97300;194600;Ref. C.10.23
29;SANYCER S.A.C.I. (RUC 80030944-8);0010010193717;2026-08-12;1444;INODORO DECA ALTA IZY CREMA P.11.37;inodoro;DECA;Inodoro Deca Izy cisterna alta;Crema;;;pieza;;;2;un;;223000;446000;Ref. P.11.37. tipo_cisterna=alta
29;SANYCER S.A.C.I. (RUC 80030944-8);0010010193717;2026-08-12;1445;LAVATORIO DECA IZY RAVENITA CREMA L.915.37;bacha;DECA;Lavatorio Deca Izy Ravenita;Crema;;;pieza;;;2;un;;117700;235400;Ref. L.915.37
29;SANYCER S.A.C.I. (RUC 80030944-8);0010010193717;2026-08-12;3161;PEDESTAL DECA RAVENA IZY CREMA C.10.37;bacha;DECA;Pedestal Deca Ravena Izy;Crema;;;pieza;;;2;un;;97300;194600;Ref. C.10.37
29;SANYCER S.A.C.I. (RUC 80030944-8);0010010193717;2026-08-12;1431;INODORO DECA ALTA IZY GRIS CLARO P.11.87;inodoro;DECA;Inodoro Deca Izy cisterna alta;Gris Claro;;;pieza;;;2;un;;223000;446000;Ref. P.11.87. tipo_cisterna=alta
29;SANYCER S.A.C.I. (RUC 80030944-8);0010010193717;2026-08-12;1433;LAVATORIO DECA IZY RAVENITA GRIS CLARO L.915.87;bacha;DECA;Lavatorio Deca Izy Ravenita;Gris Claro;;;pieza;;;2;un;;117700;235400;Ref. L.915.87
29;SANYCER S.A.C.I. (RUC 80030944-8);0010010193717;2026-08-12;1434;PEDESTAL DECA RAVENA IZY GRIS CLARO C.10.87;bacha;DECA;Pedestal Deca Ravena Izy;Gris Claro;;;pieza;;;2;un;;97300;194600;Ref. C.10.87
30;SANYCER S.A.C.I. (RUC 80030944-8);0010010193714;2026-08-12;14075;"CANO ROSCABLE PVC DE 1/2"" 10012503 (X UNIDAD)";plomeria;;Cano roscable PVC 1/2 pulgada;;;;pieza;;;10;un;;33600;336000;Ref. 10012503
30;SANYCER S.A.C.I. (RUC 80030944-8);0010010193714;2026-08-12;3730;CANO LIVIANO DE 40MM 11190448 TIRA DE 6 METROS;plomeria;;Cano liviano 40mm tira 6 m;;;;pieza;;;10;un;;23520;235200;Ref. 11190448
30;SANYCER S.A.C.I. (RUC 80030944-8);0010010193714;2026-08-12;3740;CANO LIVIANO DE 50MM 11190456 TIRA DE 6 METROS;plomeria;;Cano liviano 50mm tira 6 m;;;;pieza;;;10;un;;30800;308000;Ref. 11190456
30;SANYCER S.A.C.I. (RUC 80030944-8);0010010193714;2026-08-12;3770;CANO CLOACAL DE 100MM BLANCO 11194524 TIRA DE 6 METROS;plomeria;;Cano cloacal 100mm tira 6 m;;;;pieza;;;10;un;;60200;602000;Ref. 11194524
30;SANYCER S.A.C.I. (RUC 80030944-8);0010010193714;2026-08-12;14060;CANO CLOACAL DE 150MM BLANCO 11194940 TIRA DE 6 METROS;plomeria;;Cano cloacal 150mm tira 6 m;;;;pieza;;;5;un;;145600;728000;Ref. 11194940
30;SANYCER S.A.C.I. (RUC 80030944-8);0010010193714;2026-08-12;21439;KIT COMPLETO MONTE CARLO - BR DECA KP.808.17;inodoro;DECA;Deca kit completo Monte Carlo;;;;pieza;;;1;un;;1371514;1371514;Ref. KP.808.17
30;SANYCER S.A.C.I. (RUC 80030944-8);0010010193714;2026-08-12;27845;KIT COMPL. BACIA C/CX ACOPLE ASPEN ACCIONAMIENTO BLANCO DECA KP.751.BR.17;inodoro;DECA;Deca kit completo Aspen con caja acoplada;;;;pieza;;;2;un;;708063;1416126;Ref. KP.751.BR.17
30;SANYCER S.A.C.I. (RUC 80030944-8);0010010193714;2026-08-12;15065;BACHA SEMIENCUADRADA C/MESA 40CM CZ ANT DECA L.61040.M.85;bacha;DECA;Deca bacha semiencuadrada con mesa 40cm;;;;pieza;;;1;un;;736185;736185;Ref. L.61040.M.85. Color CZ ANT (cinza antiguo)
30;SANYCER S.A.C.I. (RUC 80030944-8);0010010193714;2026-08-12;19833;MONOCOMANDO COCINA P/MESADA COIHUE 412.01/N1-CR FV;griferia;FV;FV monocomando cocina para mesada Coihue;;;;pieza;;;2;un;;1188759;2377518;Ref. 412.01/N1-CR. tipo_grifo=monocomando, montaje=mesa
30;SANYCER S.A.C.I. (RUC 80030944-8);0010010193714;2026-08-12;384;CANILLA CROMO ART 430 DE 1/2 S/PICO FV;griferia;FV;FV canilla cromo 1/2 sin pico art. 430;;;;pieza;;;2;un;;83330;166660;tipo_grifo=frio
30;SANYCER S.A.C.I. (RUC 80030944-8);0010010193714;2026-08-12;385;CANILLA CROMO ART 436 DE 1/2 C/PICO FV;griferia;FV;FV canilla cromo 1/2 con pico art. 436;;;;pieza;;;1;un;;103360;103360;tipo_grifo=frio
30;SANYCER S.A.C.I. (RUC 80030944-8);0010010193714;2026-08-12;395;CANILLA LAVATORIO ART. 221 CLASICO FV;griferia;FV;FV canilla lavatorio Clasico art. 221;;;;pieza;;;3;un;;123000;369000;tipo_grifo=frio
30;SANYCER S.A.C.I. (RUC 80030944-8);0010010193714;2026-08-12;15550;CANILLA LAVATORIO DE AGUA FRIA FV PUELO 231/B5.0-CR;griferia;FV;FV canilla lavatorio agua fria Puelo;;;;pieza;;;2;un;;186074;372148;Ref. 231/B5.0-CR. tipo_grifo=frio
30;SANYCER S.A.C.I. (RUC 80030944-8);0010010193714;2026-08-12;6214;CANILLA PICO MOVIL ALTO ART 421 CLASICO FV;griferia;FV;FV canilla pico movil alto Clasico art. 421;;;;pieza;;;2;un;;174845;349690;
30;SANYCER S.A.C.I. (RUC 80030944-8);0010010193714;2026-08-12;9030;VALVULA AUTOMATICA P MING. FV PRESSMATIC ART 362.01 CR;griferia;FV;FV valvula automatica Pressmatic para mingitorio;;;;pieza;;;2;un;;395078;790156;Ref. 362.01
30;SANYCER S.A.C.I. (RUC 80030944-8);0010010193714;2026-08-12;27192;MONOC. DE EMBUTIR P/DUCHA FV 108/R2-CR;ducha;FV;FV monocomando de embutir para ducha 108/R2;;;;pieza;;;2;un;;280116;560232;tipo_ducha=monocomando
30;SANYCER S.A.C.I. (RUC 80030944-8);0010010193714;2026-08-12;22357;MONOCOMANDO DE EMBUTIR P/DUCHA 108/M4-CR FV;ducha;FV;FV monocomando de embutir para ducha 108/M4;;;;pieza;;;2;un;;402000;804000;tipo_ducha=monocomando
30;SANYCER S.A.C.I. (RUC 80030944-8);0010010193714;2026-08-12;17289;SOPAPA C/TAPA DECA PARA LAVATORIO PVC-CROMO 1602.C.PLA;plomeria;DECA;Deca sopapa con tapa para lavatorio PVC cromo;;;;pieza;;;6;un;;28159;168954;Ref. 1602.C.PLA
30;SANYCER S.A.C.I. (RUC 80030944-8);0010010193714;2026-08-12;19219;KIT ACCESORIOS SABINA 5 PIEZAS FV 179.05/C4-CR;accesorio_bano;FV;FV kit accesorios Sabina 5 piezas;;;;juego;;;1;un;;805044;805044;Ref. 179.05/C4-CR
30;SANYCER S.A.C.I. (RUC 80030944-8);0010010193714;2026-08-12;19034;KIT ACCESORIO P/BANO DECA PIX 2000.C02;accesorio_bano;DECA;Deca kit accesorios para bano Pix;;;;juego;;;2;un;;278717;557434;Ref. 2000.C02
